2024-12-06 15:42:21,701 - INFO - [logger.py:34] - Logging system initialized
2024-12-06 15:42:21,701 - INFO - [logger.py:58] - Starting packet capture on interface eth0
2024-12-06 15:42:25,559 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:42:25,560 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:42:25,560 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:42:25,560 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:42:25,561 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:42:25,561 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:42:26,320 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:42:26,321 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:42:35,496 - INFO - [logger.py:39] - Packet captured - Source: 20.189.173.15, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:42:43,658 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 192.46.211.253, Protocol: UDP
2024-12-06 15:42:43,672 - INFO - [logger.py:39] - Packet captured - Source: 192.46.211.253, Destination: 10.0.2.15, Protocol: UDP
2024-12-06 15:42:48,848 - INFO - [logger.py:39] - Packet captured - Source: None, Destination: None, Protocol: None
2024-12-06 15:42:48,848 - INFO - [logger.py:39] - Packet captured - Source: None, Destination: None, Protocol: None
2024-12-06 15:43:11,408 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:43:11,409 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:43:16,507 - INFO - [logger.py:39] - Packet captured - Source: None, Destination: None, Protocol: None
2024-12-06 15:43:16,507 - INFO - [logger.py:39] - Packet captured - Source: None, Destination: None, Protocol: None
2024-12-06 15:43:56,436 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:43:56,437 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:01,556 - INFO - [logger.py:39] - Packet captured - Source: None, Destination: None, Protocol: None
2024-12-06 15:44:01,557 - INFO - [logger.py:39] - Packet captured - Source: None, Destination: None, Protocol: None
2024-12-06 15:44:27,755 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 116.72.253.254, Protocol: UDP
2024-12-06 15:44:27,756 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 116.72.253.254, Protocol: UDP
2024-12-06 15:44:27,756 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:44:27,756 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:27,767 - INFO - [logger.py:39] - Packet captured - Source: 116.72.253.254, Destination: 10.0.2.15, Protocol: UDP
2024-12-06 15:44:27,768 - INFO - [logger.py:39] - Packet captured - Source: 116.72.253.254, Destination: 10.0.2.15, Protocol: UDP
2024-12-06 15:44:27,769 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:44:27,834 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:27,834 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:44:27,835 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:44:27,835 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:27,836 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:27,903 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:27,903 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:44:27,904 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:44:27,904 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
